designation,description,productid,imageid,prdtypecode,image_name,designation_clean,fname,image_rel
Bijoux Swan Rack Fille Rose De Coeur Boîte À Bijoux Boîte À Bijoux Swan Lake Collection Housekeeping 3438,Bijoux Swan rack fille rose de coeur Boîte à bijoux Swan Lake Bijoux Collection Box Description: La partie supérieure de la double plate-forme peut être accroché au-dessous de la bijouterie qui peut recevoir divers accessoires et dire adieu au bureau en désordre. logement en chambre salle de bains stockage le stockage rack de fleurs le maquillage et le stockage le stockage de bureau salle de réception Matériel: HIPS &#43; ABS Taille: 18.1 * 12.7 * 21cm Couleur: gris rose blanc beige. Contenu de l&#39;emballage: boîte de collection de bijoux 1X,4195680042,1312694565,2060,image_1312694565_product_4195680042.jpg,bijoux swan rack fille coeur bijoux bijoux swan lake housekeeping,image_1312694565_product_4195680042.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1312694565_product_4195680042.jpg
Maquette D'avion 4pcs Abs Propellers Accessory For Hr Sh5hd Rc Quadcopter Scy71127102bk-Générique,HR SH5HDLames d&#39;aéronefs,4172828800,1307834831,1300,image_1307834831_product_4172828800.jpg,maquette avion abs propellers accessory shhd quadcopter scybk,image_1307834831_product_4172828800.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1307834831_product_4172828800.jpg
Carnet De Notes Bloc-Notes Cahierproduits Chimiques Dangereux Rayonnements Toxiquesustration Schema Terrible Cercle Cahier De Calcul Classique Du Journal Journal A5,Taille: En format A5 (144 cm x 21 cm) Caractéristique: -Excellente durabilit?avec couverture solide design. 96 pages jaune pale (recto et verso) -Texture de papier de haute qualit?  écrire facilement sur et assez épaisse.,4160987185,1304173097,2522,image_1304173097_product_4160987185.jpg,carnet notes bloc notes cahierproduits chimiques dangereux rayonnements toxiquesustration schema terrible cercle cahier calcul classique journal journal,image_1304173097_product_4160987185.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1304173097_product_4160987185.jpg
Lot De 2 Matelas Latex Naturel 90x200 X 21 Cm Ferme - Déhoussable Housse Lavable - 7 Zones De Confort - Noyau Poli Lattex Hr Dernière Génération - Très Respirant,MATELAS:<br />Â· Accueil : Moelleux .<br />Â· Soutien : Ferme .<br />Â· Technologie matelas : Mousse Poli Lattex Dernière Génération &#43; Latex Naturel à  70 %<br />Â· Épaisseur du matelas : &#43;/- 21 cm.<br />Â· REPOS PLUS SAIN grà¢ce au Traitement Anti-acariens / anti-bactérien / Anti-moisissures.<br />Â· Indépendance de couchage.<br />Â· DORMEZ TRANQUILLE avec la Garantie 5 ans.  Il est Compatible avec les Sommiers Mécaniques et électriques<br />Coutil:<br />Â· Coutil stretch matelassé de 290 gr/m2 de Polyester avec traitement Sanitized. Face de couchage Réversibles<br />Â· SANITIZED : Traitement antibactérien et anti-moisissures diminuant également le développement des odeurs.<br />Structure et garnissage du matelas:<br />Â· Plateau supérieur : coutil en tissu stretch matelassé avec 15 cm de mousse profilée à  Haute Ventilation pour Maximiser le Confort<br />Â· Plateau inférieur : coutil en tissu 3D pour la bonne Respiration du noyau matelassé Air System.<br />Â· Tissu Hyper Respirant réalisé en 3 dimensions qui permet une circulation libre de l&#39;air offrant ainsi une plus grande ventilation et dâ¿¿hygiène.<br />Â· Plate-bande: Tissu Hyper RESPIRANT matelassé avec de la ouate polyester <br />Â· à¿me noyau : bloc de 14 cm de Mousse HAUTE RESILIENCE Poli Lattex dernière génération Indéformable - 2 couches cà¿tés dormeurs De Latex Naturel à  70 %<br />Â·  La structure du matelas est divisée en 7 incroyables zones de confort qui s&#39;adaptent à  tous types de morphologies et aident à  libérer les tensions musculaires pour soulager les maux de dos provoqués par de mauvaises postures au cours de la journée.<br />Â· TISSUS CERTIFIES : Système de Qualité Certifié Oeko-tex 100  Certipur testé contre les substances nocives. Certification ISO 9001,4108907787,1292387661,1560,image_1292387661_product_4108907787.jpg,matelas latex naturel ferme déhoussable housse lavable zones confort noyau poli lattex génération très respirant,image_1292387661_product_4108907787.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1292387661_product_4108907787.jpg
Sherwood G: Pedigree Register Vol. 2,,830324073,1295451889,10,image_1295451889_product_830324073.jpg,sherwood pedigree register,image_1295451889_product_830324073.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1295451889_product_830324073.jpg
T7j Yannick Noah 3p/ Star Wars 1p/ Jean Pierre Michael Ris 1p/ Ophelie Winter 4p/ Dominic Monaghan Evangeline Lilly 1p/ Severine Ferrer 1p/ Nicolas Cage 1.5p/ Albert Monaco 2p/ Julie Gayet 2p/ Robbie Williams 1.5p/ Coluche 2p/Romain Sardou 1/2p/ 2373,,258776003,970338088,2280,image_970338088_product_258776003.jpg,yannick noah star wars jean pierre michael ris ophelie winter dominic monaghan evangeline lilly severine ferrer nicolas cage albert monaco julie gayet robbie williams coluche romain sardou,image_970338088_product_258776003.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_970338088_product_258776003.jpg
Joyeux Noël Bienvenue Paillassons Intérieur Accueil Tapis Décor 40x60cm,Joyeux Noël Bienvenue paillassons intérieur Accueil Tapis Décor 40x60cm  Description: Condition: 100% nouveau Matériel: velours corail Taille: environ 40 cm x 60 cm 1inch &#61; 254 cm Quantité: 1 PC facile à absorber l&#39;eau et à la poussière une bonne résistance au glissement facile à nettoyer peut être directement lavés par la machine à laver ou les mains ne verserai pas et à la décoloration le dos éviter de diriger la lumière du soleil peut être utilisé sous la table et dans la chambre cuisine lit siège auto un canapé coussin et ainsi de suite. Ils sont une solution de décor amusant facile et amovible. PS: taille sera légèrement différent en raison de la différence de la mesure. Il est normal que si l&#39;échelle de l&#39;écart se situe entre 1 et 3 cm qui n&#39;a pas été causé par la qualité de l&#39;élément. Les photographies ci-dessus peuvent avoir un peu de différence avec les couleurs réelles que la lumière et la résolution d&#39;affichage etc. Inclus: 1 X Mat,4023030686,1277718943,2060,image_1277718943_product_4023030686.jpg,joyeux noël bienvenue paillassons intérieur accueil tapis décor xcm,image_1277718943_product_4023030686.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1277718943_product_4023030686.jpg
Lot 10 Volume Des Livre De Cuisine De A À Z,,3882288842,1257675115,2403,image_1257675115_product_3882288842.jpg,livre cuisine,image_1257675115_product_3882288842.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1257675115_product_3882288842.jpg
Archétype De L'imagination - Mtg - Commander 2018 - U - 81/307,,3334311440,1207477844,1160,image_1207477844_product_3334311440.jpg,archétype imagination mtg commander,image_1207477844_product_3334311440.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1207477844_product_3334311440.jpg
TrueShopping - 800268 - Banc de jardin convertible en table 2en1,Banc de jardin convertible en table 2en1Profitez d&#39;une table de pique-nique convertible également en table de jardin facilité de montage cette table vous facilitera la vie. Équipez votre jardin avec cette table polyvalente compact idéal pour les petites terrasses. Dimensions table de pique-nique depliée: 1380mm (Longueur) x 1480mm (Largeur) x 760mm (Hauteur). <br />Replié en banc: 1380mm (Longueur) x 740mm (Largeur) x 850mm (Hauteur).,2971727567,1177270444,2583,image_1177270444_product_2971727567.jpg,trueshopping banc jardin convertible table,image_1177270444_product_2971727567.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1177270444_product_2971727567.jpg
Heroclix - Nick Fury (S.H.I.E.L.D. / Shield) :  Clobberin Time #086 - Unique (Cercle Argent Sur Le Socle),,53444791,548172299,1140,image_548172299_product_53444791.jpg,heroclix nick fury shield clobberin time unique cercle socle,image_548172299_product_53444791.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_548172299_product_53444791.jpg
Jeu Café International En Allemand,1989,277297778,977171513,1281,image_977171513_product_277297778.jpg,jeu café international,image_977171513_product_277297778.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_977171513_product_277297778.jpg
Autocollants Vinyle Pour Ps4 - 484456,<p>À propos du produit<br />1. Autocollant unique et de haute qualité illustration imprimée numériquement sur le vinyle stratifié avec une finition brillante<br />2. Facilement amovible sans laisser de résidu collant<br />3. Installation facile et bonne protection pour votre PS4<br />4. Protégez votre PS4 de la saleté des rayures et de la poussière dans un usage quotidien<br />5. Coupe de précision accès aux commutateurs boutons faders et boutons</p><br /><p>À propos du produit<br />1. Autocollant unique et de haute qualité illustration imprimée numériquement sur le vinyle stratifié avec une finition brillante<br />2. Facilement amovible sans laisser de résidu collant<br />3. Installation facile et bonne protection pour votre PS4<br />4. Protégez votre PS4 de la saleté des rayures et de la poussière dans un usage quotidien<br />5. Coupe de précision accès aux commutateurs boutons faders et boutons</p>,3170638521,1195469407,50,image_1195469407_product_3170638521.jpg,autocollants vinyle,image_1195469407_product_3170638521.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1195469407_product_3170638521.jpg
Renolux Travel Systeme Equation Poussette 3en1 - Frabina,,2033307645,1121208596,1320,image_1121208596_product_2033307645.jpg,renolux travel systeme equation poussette frabina,image_1121208596_product_2033307645.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1121208596_product_2033307645.jpg
Waterproof Decal Skins Wrap Autocollant De Protection Du Corps Pour Dji Spark Mini Drone-Générique,Waterproof Decal Skins Wrap autocollant de protection du corps pour DJI Spark Mini Drone Caractéristiques Point artisanat exquis et coupe de précision assurez-vous que chaque film protect est correctement monté sur le drone. L&#39;utilisation de matériaux de haute qualité qui peuvent les caractéristiques de résistance aux dégâts exceptionnels aux rayures utilisation de tous les jours. Couvert avec une couche extérie de protection et donc d&#39;éviter les coups de soleil l&#39;eau et aux rayons ultraviolets. Une technologie spéciale de canal d&#39;air plus facile à traiter avec des bulles. Facile à coller facile à déchirer ne laissant aucune colle résiduelle avec la conception de la performance à l&#39;abri de décohésion. Embossé sur des autocollants en surface avec un traitement spécial assurer une bonne sensation de main métallique. Compatible: DJI Package Spark Contenu: Autocollant pour Drone et non inclus le itselt drone.,3923289082,1264011150,1300,image_1264011150_product_3923289082.jpg,waterproof decal skins wrap autocollant protection corps dji spark drone,image_1264011150_product_3923289082.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1264011150_product_3923289082.jpg
Carnet De Notes Bloc-Notes Cahieror Rouge Sakura Schema Du Japon Les Carnets De Travail Classique Sur Support Papier Cadeau Tissu,Taille: En format A5 (144 cm x 21 cm) Caracteistique: -Excellente edurabiliteavec couverture solide design. 96 pages jaune pale (recto et verso) -Texture de papier de haute qualite  erire facilement sur et assez Eaisse.,4159315740,1303681950,2522,image_1303681950_product_4159315740.jpg,carnet notes bloc notes cahieror sakura schema carnets travail classique support papier cadeau tissu,image_1303681950_product_4159315740.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1303681950_product_4159315740.jpg
4pcs En Fibre De Carbone 9455 Pliable Hélice À Faible Bruit 3 Lames Pour Dji Phantom 3 Drone-Générique,4pcs en fibre de carbone 9455 Pliable Hélice à faible bruit 3 lames pour DJI Phantom 3 Feature: Ici j&#39;ai une nouvelle marque Full Carbon Fiber 9455 Hélices pliables Low Noise 9455 Hélice pour PHANTOM 3 La lame est la lame de platine Mavic Pro avec l&#39;utilisation PHANTOM 3 la bruit global a diminué de 4 dB vous pouvez réduire la puissance sonore de 60% Endurance prolongée à 30 minutes. Nouveau design aérodynamique une excellente performance de réduction du bruit plus le temps d&#39;endurance Matière dominante: fibre carbone ne peut pas être utilisé avec les protège-lames fantôme 3 (version complètement fermée) contenu Packahe: 4 x 9455 Hélice Paire,3727587696,1238298158,1300,image_1238298158_product_3727587696.jpg,fibre carbone pliable hélice faible bruit lames dji phantom drone,image_1238298158_product_3727587696.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1238298158_product_3727587696.jpg
Mât Acier Pour Voile D'ombrage Ø 20 Mm - 270 M,Mât en acier pour voile d&#39;ombrage Hespéride triangulaire ou carré. Haut de 270 m et composé d&#39;acier. Ø 20 mm avec embouts. Couleur aluminium.,1876685567,1190248518,2582,image_1190248518_product_1876685567.jpg,mât voile ombrage,image_1190248518_product_1876685567.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1190248518_product_1876685567.jpg
Supérieure Avant Et Bras Inférieurs + Bras Avant Knuckle + Direction Coupe Pour Arrma 1/8 Kraton 6s @Yeigen844,Aluminium supérieur avant bras inférieurs &#43; bras avant Knuckle &#43; Coupe de direction pour ARRMA 1/8 KRATON 6S Rc Car Description: Fabriqué avec un poids léger de qualité haute résistance à la traction en aluminium 6061 T6 pour une performance plus stable avec une grande durabilité. colliers Delrin sont insérés pour réduire l&#39;écart et de renforcer la mise en place . Facile à brancher et jouer en plus sensible à la direction et à tourner. Rigidité élevée ténacité du POM permettent roulements de ne pas tomber en raison de graves répercussions . bras inférieurs ont de multiples trous de positionnement pour les utilisateurs d&#39;ajuster l&#39;angle des amortisseurs. Convient pour ARRMA KRAON Outcast TALION emplacement partie: bras supérieur et inférieur avant bras avant knuckle principales fonctions produit usage: avant bras supérieur et inférieur: Soutenir et stabiliser le châssis avant. les bras d&#39;articulation avant: Stabiliser joint et le palier universel. Est-ce une partie réglable? Si oui ... comment et pourquoi / but ? OUI Comment: Installer les amortisseurs à travers les trous de positionnement. Objectif: régler l&#39;angle des amortisseurs pour différentes expériences de conduite. Le forfait comprend: 2 x bras supérieur avant 2 x bras inférieur avant 2 x avant Knuckle Bras 4 x tête ronde en acier inoxydable Vis 4x10 2 x ronde en acier inoxydable Vis à tête 3x18 2 x ronde en acier inoxydable Vis à tête 3x16 2 x Set Vis 4x10 4 x POM colliers 2 x ronds en acier inoxydable vis à tête 3x12 Pour régler l&#39;angle des amortisseurs pour différentes expériences de conduite. Le forfait comprend: 2 x bras supérieur avant 2 x bras inférieur avant 2 x avant Knuckle Bras 4 x tête ronde en acier inoxydable Vis 4x10 2 x ronde en acier inoxydable Vis à tête 3x18 2 x ronde en acier inoxydable Vis à tête 3x16 2 x Set Vis 4x10 4 x POM colliers 2 x ronds en acier inoxydable vis à tête 3x12 Pour régler l&#39;angle des amortisseurs pour différentes expériences de conduite. Le forfait comprend: 2 x bras supérieur avant 2 x bras inférieur avant 2 x avant Knuckle Bras 4 x tête ronde en acier inoxydable Vis 4x10 2 x ronde en acier inoxydable Vis à tête 3x18 2 x ronde en acier inoxydable Vis à tête 3x16 2 x Set Vis 4x10 4 x POM colliers 2 x ronds en acier inoxydable vis à tête 3x12,4212779801,1317371133,1280,image_1317371133_product_4212779801.jpg,supérieure avant bras inférieurs bras avant knuckle direction coupe arrma kraton yeigen,image_1317371133_product_4212779801.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1317371133_product_4212779801.jpg
Console Xbox  360+ Kinect+ Differents Jeux,,1996043363,1119375147,2462,image_1119375147_product_1996043363.jpg,console xbox kinect differents jeux,image_1119375147_product_1996043363.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1119375147_product_1996043363.jpg
Purpledip Finition Laiton Antique Ganesha Tête Avec Bell Décoration Murale À Suspendre (10768b),ganesha lakshmi laiton accrochage mural - Dimensions du produit?: 102 x 51 x 152 cm (L * l * H) | Poids?: 530 gram - artistiquement en laiton fabriqué à - Fabriqué par des artisans de l&#39;Inde - pendaison de crémaillère ou cadeau de mariage pour la décoration d&#39;intérieur,4223050060,1321874740,2582,image_1321874740_product_4223050060.jpg,purpledip finition laiton antique ganesha tête bell décoration murale suspendre,image_1321874740_product_4223050060.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1321874740_product_4223050060.jpg
Nintendo - Gameboy Alarm Clock : P. Derive,,2912962648,1171847966,50,image_1171847966_product_2912962648.jpg,nintendo gameboy alarm clock derive,image_1171847966_product_2912962648.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1171847966_product_2912962648.jpg
ustensiles de cuisine en silicone haute température réglée eggbeater Passoire manche en bois,ustensiles de cuisine en silicone haute température réglée manche en bois eggbeater Passoire Description de forme créative et simple un travail exquis et des bords lisses de qualité alimentaire silicone anti-chute anti-crack respectueuse de l&#39;environnement durable Pas facile de blesser la résistance à haute température pas de déformation crochet de queue pour faciliter pendaison taille de stockage: Passoire: 315 x 7 cm 1240 x 276 pouce Brosse: 27 x 3 cm 1063 x 118 pouce Eggbeater: 29 x 6 cm 1142 x 236 pouce Grattoir: 32 x6.5 cm 1260 x 197 pouce cuillère à soupe de 31 x8 1221 cm x3.15 pouces Couleur: comme le montre l&#39;emballage: 1 x 1 x passoire brosse à huile 1 x batteur à oeufs 1 x 1 x racloir cuillère à soupe,3879904641,1257276152,2585,image_1257276152_product_3879904641.jpg,ustensiles cuisine silicone haute température réglée eggbeater passoire manche bois,image_1257276152_product_3879904641.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1257276152_product_3879904641.jpg
Pokémon - 101-R/131 - Bruyverne - Reverse,,3060686643,1188034802,1160,image_1188034802_product_3060686643.jpg,pokémon bruyverne reverse,image_1188034802_product_3060686643.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1188034802_product_3060686643.jpg
Animalis - Collier Basic Confort 15mm Et 35cm Pour Chien - Taupe,,4099130462,1290991762,2220,image_1290991762_product_4099130462.jpg,animalis collier basic confort chien taupe,image_1290991762_product_4099130462.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1290991762_product_4099130462.jpg
Hochet Anneau Lapin Moulin Roty,,166605753,920493676,1320,image_920493676_product_166605753.jpg,hochet anneau lapin moulin roty,image_920493676_product_166605753.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_920493676_product_166605753.jpg
Ninja Gaiden Figurine Kureha 29 Cm,Chaque Beyblade se caractérise par des performances offensives défensives et d'endurance.,447622156,1010546270,40,image_1010546270_product_447622156.jpg,ninja gaiden figurine kureha,image_1010546270_product_447622156.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1010546270_product_447622156.jpg
One Piece Dx Figure The Grandline Men Vol.9 Zoro & Yasopp (Set Of 2),,294356515,987523367,1140,image_987523367_product_294356515.jpg,one figure grandline men zoro yasopp,image_987523367_product_294356515.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_987523367_product_294356515.jpg
Super Casse-Tête - Jeu En Téléchargement,<b>Le retour d&#39;un pur classique de la réflexion !</b> <br /><br /> Qui ne connait pas le célèbre &#39;The Incredible Machines&#39; LE titre de réflexion qui a passionné toute une génération de joueurs. Super Casse-Tête vous propose aujourd&#39;hui de retrouver toute l&#39;inventivité et l&#39;intelligence de ce jeu dans une nouvelle version encore plus diabolique ! <br /><br /> Le but donné au joueur est simple : construire une machine qui remplit des objectifs précis avec certaines pièces données. Pour ce faire il doit utiliser toute son ingéniosité et combiner les différentes pièces en prenant soin de respecter le comportement physique de chaque élément. Un professeur loufoque donne des conseils au joueur et commente ses expériences. Comment allumer des ampoules avec un dirigeable ou faire tirer un canon avec un ballon de basket ? Telles sont les questions que le joueur devra résoudre dans ce jeu !,1711728451,1100063161,2905,image_1100063161_product_1711728451.jpg,casse tête jeu téléchargement,image_1100063161_product_1711728451.jpg,C:\Users\colle\Dropbox\10 Learning\01 LES MINES DATASCIENTEST\Rakuten\rakuten-main\streamlit_app\demo_images\image_1100063161_product_1711728451.jpg
